,artist,date,genre,song,year
99,jay-z + alicia keys,2009-11-28,R_and_B,empire state of mind,2009
100,jay-z + alicia keys,2009-12-05,R_and_B,empire state of mind,2009
101,usher,2009-12-12,R_and_B,papers,2009
102,usher,2009-12-19,R_and_B,papers,2009
103,trey songz featuring drake,2009-12-26,R_and_B,i invented sex,2009
104,trey songz featuring drake,2010-01-02,R_and_B,i invented sex,2010
105,melanie fiona,2010-01-09,R_and_B,it kills me,2010
106,melanie fiona,2010-01-16,R_and_B,it kills me,2010
107,melanie fiona,2010-01-23,R_and_B,it kills me,2010
108,melanie fiona,2010-01-30,R_and_B,it kills me,2010
109,melanie fiona,2010-02-06,R_and_B,it kills me,2010
110,melanie fiona,2010-02-13,R_and_B,it kills me,2010
111,melanie fiona,2010-02-20,R_and_B,it kills me,2010
112,melanie fiona,2010-02-27,R_and_B,it kills me,2010
113,melanie fiona,2010-03-06,R_and_B,it kills me,2010
114,robin thicke,2010-03-13,R_and_B,sex therapy,2010
115,robin thicke,2010-03-20,R_and_B,sex therapy,2010
116,timbaland featuring drake,2010-03-27,R_and_B,say something,2010
117,monica,2010-04-03,R_and_B,everything to me,2010
118,monica,2010-04-10,R_and_B,everything to me,2010
119,monica,2010-04-17,R_and_B,everything to me,2010
120,monica,2010-04-24,R_and_B,everything to me,2010
121,monica,2010-05-01,R_and_B,everything to me,2010
122,monica,2010-05-08,R_and_B,everything to me,2010
123,monica,2010-05-15,R_and_B,everything to me,2010
124,alicia keys,2010-05-22,R_and_B,un-thinkable (i'm ready),2010
125,alicia keys,2010-05-29,R_and_B,un-thinkable (i'm ready),2010
126,alicia keys,2010-06-05,R_and_B,un-thinkable (i'm ready),2010
127,alicia keys,2010-06-12,R_and_B,un-thinkable (i'm ready),2010
128,alicia keys,2010-06-19,R_and_B,un-thinkable (i'm ready),2010
129,alicia keys,2010-06-26,R_and_B,un-thinkable (i'm ready),2010
130,alicia keys,2010-07-03,R_and_B,un-thinkable (i'm ready),2010
131,alicia keys,2010-07-10,R_and_B,un-thinkable (i'm ready),2010
132,alicia keys,2010-07-17,R_and_B,un-thinkable (i'm ready),2010
133,alicia keys,2010-07-24,R_and_B,un-thinkable (i'm ready),2010
134,alicia keys,2010-07-31,R_and_B,un-thinkable (i'm ready),2010
135,alicia keys,2010-08-07,R_and_B,un-thinkable (i'm ready),2010
136,usher,2010-08-14,R_and_B,there goes my baby,2010
137,usher,2010-08-21,R_and_B,there goes my baby,2010
138,usher,2010-08-28,R_and_B,there goes my baby,2010
139,usher,2010-09-04,R_and_B,there goes my baby,2010
140,chris brown featuring tyga & kevin mccall,2010-09-11,R_and_B,deuces,2010
141,chris brown featuring tyga & kevin mccall,2010-09-18,R_and_B,deuces,2010
142,chris brown featuring tyga & kevin mccall,2010-09-25,R_and_B,deuces,2010
143,chris brown featuring tyga & kevin mccall,2010-10-02,R_and_B,deuces,2010
144,chris brown featuring tyga & kevin mccall,2010-10-09,R_and_B,deuces,2010
145,chris brown featuring tyga & kevin mccall,2010-10-16,R_and_B,deuces,2010
146,chris brown featuring tyga & kevin mccall,2010-10-23,R_and_B,deuces,2010
147,chris brown featuring tyga & kevin mccall,2010-10-30,R_and_B,deuces,2010
148,chris brown featuring tyga & kevin mccall,2010-11-06,R_and_B,deuces,2010
149,trey songz,2010-11-13,R_and_B,can't be friends,2010
150,trey songz,2010-11-20,R_and_B,can't be friends,2010
151,trey songz,2010-11-27,R_and_B,can't be friends,2010
152,trey songz,2010-12-04,R_and_B,can't be friends,2010
153,trey songz,2010-12-11,R_and_B,can't be friends,2010
154,trey songz,2010-12-18,R_and_B,can't be friends,2010
155,trey songz,2010-12-25,R_and_B,can't be friends,2010
156,trey songz,2011-01-01,R_and_B,can't be friends,2011
157,trey songz,2011-01-08,R_and_B,can't be friends,2011
158,trey songz,2011-01-15,R_and_B,can't be friends,2011
159,trey songz,2011-01-22,R_and_B,can't be friends,2011
160,trey songz,2011-01-29,R_and_B,can't be friends,2011
161,trey songz,2011-02-05,R_and_B,can't be friends,2011
162,jamie foxx featuring drake,2011-02-12,R_and_B,fall for your type,2011
163,jamie foxx featuring drake,2011-02-19,R_and_B,fall for your type,2011
164,nicki minaj featuring drake,2011-02-26,R_and_B,moment 4 life,2011
165,nicki minaj featuring drake,2011-03-05,R_and_B,moment 4 life,2011
166,nicki minaj featuring drake,2011-03-12,R_and_B,moment 4 life,2011
167,nicki minaj featuring drake,2011-03-19,R_and_B,moment 4 life,2011
168,nicki minaj featuring drake,2011-03-26,R_and_B,moment 4 life,2011
169,chris brown featuring lil wayne & busta rhymes,2011-04-02,R_and_B,look at me now,2011
170,chris brown featuring lil wayne & busta rhymes,2011-04-09,R_and_B,look at me now,2011
171,chris brown featuring lil wayne & busta rhymes,2011-04-16,R_and_B,look at me now,2011
172,chris brown featuring lil wayne & busta rhymes,2011-04-23,R_and_B,look at me now,2011
173,chris brown featuring lil wayne & busta rhymes,2011-04-30,R_and_B,look at me now,2011
174,chris brown featuring lil wayne & busta rhymes,2011-05-07,R_and_B,look at me now,2011
175,chris brown featuring lil wayne & busta rhymes,2011-05-14,R_and_B,look at me now,2011
176,chris brown featuring lil wayne & busta rhymes,2011-05-21,R_and_B,look at me now,2011
177,miguel,2011-05-28,R_and_B,sure thing,2011
178,kelly rowland featuring lil wayne,2011-06-04,R_and_B,motivation,2011
179,kelly rowland featuring lil wayne,2011-06-11,R_and_B,motivation,2011
180,kelly rowland featuring lil wayne,2011-06-18,R_and_B,motivation,2011
181,kelly rowland featuring lil wayne,2011-06-25,R_and_B,motivation,2011
182,kelly rowland featuring lil wayne,2011-07-02,R_and_B,motivation,2011
183,kelly rowland featuring lil wayne,2011-07-09,R_and_B,motivation,2011
184,"dj khaled featuring drake, rick ross & lil wayne",2011-07-16,R_and_B,i'm on one,2011
185,kelly rowland featuring lil wayne,2011-07-23,R_and_B,motivation,2011
186,"dj khaled featuring drake, rick ross & lil wayne",2011-07-30,R_and_B,i'm on one,2011
187,"dj khaled featuring drake, rick ross & lil wayne",2011-08-06,R_and_B,i'm on one,2011
188,"dj khaled featuring drake, rick ross & lil wayne",2011-08-13,R_and_B,i'm on one,2011
189,"dj khaled featuring drake, rick ross & lil wayne",2011-08-20,R_and_B,i'm on one,2011
190,"dj khaled featuring drake, rick ross & lil wayne",2011-08-27,R_and_B,i'm on one,2011
191,"dj khaled featuring drake, rick ross & lil wayne",2011-09-03,R_and_B,i'm on one,2011
192,"dj khaled featuring drake, rick ross & lil wayne",2011-09-10,R_and_B,i'm on one,2011
193,"dj khaled featuring drake, rick ross & lil wayne",2011-09-17,R_and_B,i'm on one,2011
194,"dj khaled featuring drake, rick ross & lil wayne",2011-09-24,R_and_B,i'm on one,2011
195,"dj khaled featuring drake, rick ross & lil wayne",2011-10-01,R_and_B,i'm on one,2011
196,big sean featuring kanye west & roscoe dash,2011-10-08,R_and_B,marvin & chardonnay,2011
197,lil wayne featuring drake,2011-10-15,R_and_B,she will,2011
198,lil wayne featuring drake,2011-10-22,R_and_B,she will,2011
199,lil wayne featuring drake,2011-10-29,R_and_B,she will,2011
200,lil wayne featuring drake,2011-11-05,R_and_B,she will,2011
201,jay z  kanye west,2011-11-12,R_and_B,ni**as in paris,2011
202,jay z  kanye west,2011-11-19,R_and_B,ni**as in paris,2011
203,jay z  kanye west,2011-11-26,R_and_B,ni**as in paris,2011
204,jay z  kanye west,2011-12-03,R_and_B,ni**as in paris,2011
205,jay z  kanye west,2011-12-10,R_and_B,ni**as in paris,2011
206,jay z  kanye west,2011-12-17,R_and_B,ni**as in paris,2011
207,jay z  kanye west,2011-12-24,R_and_B,ni**as in paris,2011
208,wale featuring miguel,2011-12-31,R_and_B,lotus flower bomb,2011
209,wale featuring miguel,2012-01-07,R_and_B,lotus flower bomb,2012
210,wale featuring miguel,2012-01-14,R_and_B,lotus flower bomb,2012
211,wale featuring miguel,2012-01-21,R_and_B,lotus flower bomb,2012
212,wale featuring miguel,2012-01-28,R_and_B,lotus flower bomb,2012
213,drake featuring nicki minaj,2012-02-04,R_and_B,make me proud,2012
214,drake featuring nicki minaj,2012-02-11,R_and_B,make me proud,2012
215,drake featuring nicki minaj,2012-02-18,R_and_B,make me proud,2012
216,drake featuring lil wayne,2012-02-25,R_and_B,the motto,2012
217,drake featuring lil wayne,2012-03-03,R_and_B,the motto,2012
218,beyonce,2012-03-10,R_and_B,love on top,2012
219,beyonce,2012-03-17,R_and_B,love on top,2012
220,beyonce,2012-03-24,R_and_B,love on top,2012
221,beyonce,2012-03-31,R_and_B,love on top,2012
222,beyonce,2012-04-07,R_and_B,love on top,2012
223,beyonce,2012-04-14,R_and_B,love on top,2012
224,beyonce,2012-04-21,R_and_B,love on top,2012
225,usher,2012-04-28,R_and_B,climax,2012
226,usher,2012-05-05,R_and_B,climax,2012
227,usher,2012-05-12,R_and_B,climax,2012
228,usher,2012-05-19,R_and_B,climax,2012
229,usher,2012-05-26,R_and_B,climax,2012
230,usher,2012-06-02,R_and_B,climax,2012
231,usher,2012-06-09,R_and_B,climax,2012
232,usher,2012-06-16,R_and_B,climax,2012
233,usher,2012-06-23,R_and_B,climax,2012
234,usher,2012-06-30,R_and_B,climax,2012
235,"kanye west, big sean, pusha t, 2 chainz",2012-07-07,R_and_B,mercy,2012
236,usher,2012-07-14,R_and_B,climax,2012
237,"kanye west, big sean, pusha t, 2 chainz",2012-07-21,R_and_B,mercy,2012
238,"kanye west, big sean, pusha t, 2 chainz",2012-07-28,R_and_B,mercy,2012
239,"kanye west, big sean, pusha t, 2 chainz",2012-08-04,R_and_B,mercy,2012
240,"kanye west, big sean, pusha t, 2 chainz",2012-08-11,R_and_B,mercy,2012
241,2 chainz featuring drake,2012-08-18,R_and_B,no lie,2012
242,2 chainz featuring drake,2012-08-25,R_and_B,no lie,2012
243,2 chainz featuring drake,2012-09-01,R_and_B,no lie,2012
244,2 chainz featuring drake,2012-09-08,R_and_B,no lie,2012
245,2 chainz featuring drake,2012-09-15,R_and_B,no lie,2012
246,miguel,2012-09-22,R_and_B,adorn,2012
247,miguel,2012-09-29,R_and_B,adorn,2012
248,miguel,2012-10-06,R_and_B,adorn,2012
249,miguel,2012-10-13,R_and_B,adorn,2012
250,rihanna,2012-10-20,R_and_B,diamonds,2012
251,rihanna,2012-10-27,R_and_B,diamonds,2012
252,rihanna,2012-11-03,R_and_B,diamonds,2012
253,rihanna,2012-11-10,R_and_B,diamonds,2012
254,rihanna,2012-11-17,R_and_B,diamonds,2012
255,rihanna,2012-11-24,R_and_B,diamonds,2012
256,rihanna,2012-12-01,R_and_B,diamonds,2012
257,rihanna,2012-12-08,R_and_B,diamonds,2012
258,rihanna,2012-12-15,R_and_B,diamonds,2012
259,rihanna,2012-12-22,R_and_B,diamonds,2012
260,rihanna,2012-12-29,R_and_B,diamonds,2012
261,rihanna,2013-01-05,R_and_B,diamonds,2013
262,rihanna,2013-01-12,R_and_B,diamonds,2013
263,rihanna,2013-01-19,R_and_B,diamonds,2013
264,macklemore & ryan lewis featuring wanz,2013-01-26,R_and_B,thrift shop,2013
265,macklemore & ryan lewis featuring wanz,2013-02-02,R_and_B,thrift shop,2013
266,macklemore & ryan lewis featuring wanz,2013-02-09,R_and_B,thrift shop,2013
267,macklemore & ryan lewis featuring wanz,2013-02-16,R_and_B,thrift shop,2013
268,macklemore & ryan lewis featuring wanz,2013-02-23,R_and_B,thrift shop,2013
269,macklemore & ryan lewis featuring wanz,2013-03-02,R_and_B,thrift shop,2013
270,macklemore & ryan lewis featuring wanz,2013-03-09,R_and_B,thrift shop,2013
271,macklemore & ryan lewis featuring wanz,2013-03-16,R_and_B,thrift shop,2013
272,macklemore & ryan lewis featuring wanz,2013-03-23,R_and_B,thrift shop,2013
273,macklemore & ryan lewis featuring wanz,2013-03-30,R_and_B,thrift shop,2013
274,macklemore & ryan lewis featuring wanz,2013-04-06,R_and_B,thrift shop,2013
275,macklemore & ryan lewis featuring wanz,2013-04-13,R_and_B,thrift shop,2013
276,macklemore & ryan lewis featuring wanz,2013-04-20,R_and_B,thrift shop,2013
277,macklemore & ryan lewis featuring wanz,2013-04-27,R_and_B,thrift shop,2013
278,macklemore & ryan lewis featuring ray dalton,2013-05-04,R_and_B,can't hold us,2013
279,macklemore & ryan lewis featuring ray dalton,2013-05-11,R_and_B,can't hold us,2013
280,macklemore & ryan lewis featuring ray dalton,2013-05-18,R_and_B,can't hold us,2013
281,macklemore & ryan lewis featuring ray dalton,2013-05-25,R_and_B,can't hold us,2013
282,macklemore & ryan lewis featuring ray dalton,2013-06-01,R_and_B,can't hold us,2013
283,macklemore & ryan lewis featuring ray dalton,2013-06-08,R_and_B,can't hold us,2013
284,macklemore & ryan lewis featuring ray dalton,2013-06-15,R_and_B,can't hold us,2013
285,robin thicke featuring t.i. + pharrell,2013-06-22,R_and_B,blurred lines,2013
286,robin thicke featuring t.i. + pharrell,2013-06-29,R_and_B,blurred lines,2013
287,robin thicke featuring t.i. + pharrell,2013-07-06,R_and_B,blurred lines,2013
288,robin thicke featuring t.i. + pharrell,2013-07-13,R_and_B,blurred lines,2013
289,robin thicke featuring t.i. + pharrell,2013-07-20,R_and_B,blurred lines,2013
290,robin thicke featuring t.i. + pharrell,2013-07-27,R_and_B,blurred lines,2013
291,robin thicke featuring t.i. + pharrell,2013-08-03,R_and_B,blurred lines,2013
292,robin thicke featuring t.i. + pharrell,2013-08-10,R_and_B,blurred lines,2013
293,robin thicke featuring t.i. + pharrell,2013-08-17,R_and_B,blurred lines,2013
294,robin thicke featuring t.i. + pharrell,2013-08-24,R_and_B,blurred lines,2013
295,robin thicke featuring t.i. + pharrell,2013-08-31,R_and_B,blurred lines,2013
296,robin thicke featuring t.i. + pharrell,2013-09-07,R_and_B,blurred lines,2013
297,robin thicke featuring t.i. + pharrell,2013-09-14,R_and_B,blurred lines,2013
298,robin thicke featuring t.i. + pharrell,2013-09-21,R_and_B,blurred lines,2013
299,robin thicke featuring t.i. + pharrell,2013-09-28,R_and_B,blurred lines,2013
300,robin thicke featuring t.i. + pharrell,2013-10-05,R_and_B,blurred lines,2013
301,drake featuring majid jordan,2013-10-12,R_and_B,"hold on, we're going home",2013
302,drake featuring majid jordan,2013-10-19,R_and_B,"hold on, we're going home",2013
303,drake featuring majid jordan,2013-10-26,R_and_B,"hold on, we're going home",2013
304,drake featuring majid jordan,2013-11-02,R_and_B,"hold on, we're going home",2013
305,drake featuring majid jordan,2013-11-09,R_and_B,"hold on, we're going home",2013
306,eminem featuring rihanna,2013-11-16,R_and_B,the monster,2013
307,eminem featuring rihanna,2013-11-23,R_and_B,the monster,2013
308,eminem featuring rihanna,2013-11-30,R_and_B,the monster,2013
309,eminem featuring rihanna,2013-12-07,R_and_B,the monster,2013
310,eminem featuring rihanna,2013-12-14,R_and_B,the monster,2013
311,eminem featuring rihanna,2013-12-21,R_and_B,the monster,2013
312,eminem featuring rihanna,2013-12-28,R_and_B,the monster,2013
313,eminem featuring rihanna,2014-01-04,R_and_B,the monster,2014
314,eminem featuring rihanna,2014-01-11,R_and_B,the monster,2014
315,eminem featuring rihanna,2014-01-18,R_and_B,the monster,2014
316,eminem featuring rihanna,2014-01-25,R_and_B,the monster,2014
